Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 104.0.5112.81,,,2022-08-17 11:42:42,2022-08-17 11:45:26,"2m - 43,870s",FAILED
,,,,,,,
Test Cases/Negatif Login fb ver 2,Chrome 104.0.5112.81,"email salah darienagree@gil.com (benar : darienagree@gmail.com)
password benar Yes12345",,2022-08-17 11:43:01,2022-08-17 11:43:37,"35,649s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:43:01,2022-08-17 11:43:01,"0,038s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 11:43:02,2022-08-17 11:43:17,"15,286s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 11:43:17,2022-08-17 11:43:17,"0,274s",PASSED
"navigateToUrl(""https://www.facebook.com/login"")",Chrome 104.0.5112.81,,,2022-08-17 11:43:17,2022-08-17 11:43:22,"4,673s",PASSED
"setText(findTestObject(""Object Repository/login negatif email salah pw benar/Page_Log in to Facebook/input_Log in to Facebook_email""), ""darienagree@gil.com"")",Chrome 104.0.5112.81,,,2022-08-17 11:43:22,2022-08-17 11:43:23,"1,033s",PASSED
"setEncryptedText(findTestObject(""Object Repository/login negatif email salah pw benar/Page_Log in to Facebook/input_Log in to Facebook_pass""), ""CP4kq14s4UIcGFAtz0pEkw=="")",Chrome 104.0.5112.81,,,2022-08-17 11:43:23,2022-08-17 11:43:24,"0,780s",PASSED
"click(findTestObject(""Object Repository/login negatif email salah pw benar/Page_Log in to Facebook/button_Log In""))",Chrome 104.0.5112.81,,,2022-08-17 11:43:24,2022-08-17 11:43:24,"0,494s",PASSED
waitForAlert(10),Chrome 104.0.5112.81,,,2022-08-17 11:43:24,2022-08-17 11:43:36,"11,406s",PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-17 11:43:36,2022-08-17 11:43:37,"1,058s",PASSED
Start listener action : sampleAfterTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:43:37,2022-08-17 11:43:37,"0,007s",PASSED
,,,,,,,
